"timestamp","cpu","ramTotal","ramUsada","discoTotal","discoUsado","numProcessos","codigoMaquina","top5Processos"
"2025-10-14 17:55:34",2.7,15.61,59.9,447.45,91,325,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2237.9}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 30.8}, {""name"": ""chrome.exe"", ""pid"": 36108, ""cpu_percent"": 16.8}, {""name"": ""chrome.exe"", ""pid"": 12408, ""cpu_percent"": 14.4}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 13.8}]"
"2025-10-14 17:55:46",3.6,15.61,59.7,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2307.9}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 13.9}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 12.2}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 10.0}, {""name"": ""chrome.exe"", ""pid"": 28416, ""cpu_percent"": 6.2}]"
"2025-10-14 17:55:57",2.6,15.61,59.6,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2289.2}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 14.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 11.3}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 9.1}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 5.0}]"
"2025-10-14 17:56:09",2.1,15.61,59.7,447.45,91,317,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2321.9}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 16.2}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 15.5}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 6.8}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 4.2}]"
"2025-10-14 17:56:20",5.2,15.61,60,447.45,91,317,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2295.7}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 15.2}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 13.4}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 6.7}, {""name"": ""python.exe"", ""pid"": 39920, ""cpu_percent"": 4.6}]"
"2025-10-14 17:56:32",1.4,15.61,59.6,447.45,91,317,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2332.3}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 12.0}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 12.0}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 8.1}, {""name"": ""python.exe"", ""pid"": 39920, ""cpu_percent"": 3.9}]"
"2025-10-14 17:56:43",4.1,15.61,59.6,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2324.6}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 17.2}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 12.6}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 8.0}, {""name"": ""Code.exe"", ""pid"": 9972, ""cpu_percent"": 4.8}]"
"2025-10-14 17:56:55",1.5,15.61,59.6,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2279.9}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 11.2}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 10.9}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 10.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 8.8}]"
"2025-10-14 17:57:06",4,15.61,58.8,447.45,91,317,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2277.7}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 15.6}, {""name"": ""chrome.exe"", ""pid"": 28416, ""cpu_percent"": 15.1}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 12.1}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 12.0}]"
"2025-10-14 17:57:18",13,15.61,59.7,447.45,91,319,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2156.2}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 29.6}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 20.6}, {""name"": ""MsMpEng.exe"", ""pid"": 4420, ""cpu_percent"": 15.7}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 13.3}]"
"2025-10-14 17:57:30",3.7,15.61,61.9,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2233.1}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 24.3}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 17.3}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 16.0}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 14.3}]"
"2025-10-14 17:57:41",4.4,15.61,61.9,447.45,91,320,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2287.9}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 23.3}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 13.5}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 12.9}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 11.4}]"
"2025-10-14 17:57:53",5.4,15.61,61.7,447.45,91,315,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2259.0}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 14.2}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 12.5}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 11.3}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 10.4}]"
"2025-10-14 17:58:05",4.3,15.61,62.4,447.45,91,314,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2254.5}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 31.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 21.0}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 16.4}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 12.1}]"
"2025-10-14 17:58:16",19.1,15.61,69.5,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2097.0}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 19.6}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 19.0}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 15.8}, {""name"": ""MsMpEng.exe"", ""pid"": 4420, ""cpu_percent"": 14.4}]"
"2025-10-14 17:58:29",5.3,15.61,73.2,447.45,91,319,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 1818.0}, {""name"": ""idea64.exe"", ""pid"": 1500, ""cpu_percent"": 320.1}, {""name"": ""MsMpEng.exe"", ""pid"": 4420, ""cpu_percent"": 71.0}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 23.9}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 16.1}]"
"2025-10-14 17:58:40",8.7,15.61,73,447.45,91,319,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2258.3}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 16.6}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 15.5}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 14.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 14.2}]"
"2025-10-14 17:58:52",16.9,15.61,72.5,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2145.1}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 32.6}, {""name"": ""idea64.exe"", ""pid"": 1500, ""cpu_percent"": 27.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 25.2}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 19.0}]"
"2025-10-14 17:59:04",4.6,15.61,63.2,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2239.2}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 31.5}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 16.3}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 16.1}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 16.0}]"
"2025-10-14 17:59:15",4.7,15.61,62.2,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2275.9}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 16.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 14.4}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 13.6}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 11.4}]"
"2025-10-14 17:59:27",11.6,15.61,62.6,447.45,91,316,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2202.4}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 26.0}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 20.3}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 17.6}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 13.9}]"
"2025-10-14 17:59:39",9.5,15.61,68.4,447.45,91,350,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2064.6}, {""name"": ""MsMpEng.exe"", ""pid"": 4420, ""cpu_percent"": 58.1}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 34.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 31.3}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 27.6}]"
"2025-10-14 17:59:51",6.6,15.61,68.4,447.45,91,350,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2147.2}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 27.5}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 25.2}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 17.4}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 15.2}]"
"2025-10-14 18:00:02",13,15.61,69.5,447.45,91,354,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2021.2}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 48.6}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 40.6}, {""name"": ""svchost.exe"", ""pid"": 34836, ""cpu_percent"": 40.4}, {""name"": ""svchost.exe"", ""pid"": 10016, ""cpu_percent"": 38.8}]"
"2025-10-14 18:00:14",6,15.61,69,447.45,91,348,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2165.5}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 27.8}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 19.1}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 17.8}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 17.2}]"
"2025-10-14 18:00:26",6.5,15.61,69.3,447.45,91,348,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2189.9}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 24.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 23.4}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 17.2}, {""name"": ""dwm.exe"", ""pid"": 8492, ""cpu_percent"": 16.7}]"
"2025-10-14 18:00:38",7.4,15.61,68.8,447.45,91,350,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2233.6}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 21.3}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 20.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 18.4}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 16.8}]"
"2025-10-14 18:00:50",12.2,15.61,68.3,447.45,91,351,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2215.3}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 21.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 20.8}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 15.6}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 15.6}]"
"2025-10-14 18:01:01",8.5,15.61,68.5,447.45,91,350,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2237.2}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 21.5}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 19.6}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 15.8}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 14.9}]"
"2025-10-14 18:01:13",10.5,15.61,69,447.45,91,348,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2188.4}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 30.7}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 22.7}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 21.4}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 17.7}]"
"2025-10-14 18:01:25",8,15.61,69.1,447.45,91,347,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2205.6}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 25.4}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 19.3}, {""name"": ""audiodg.exe"", ""pid"": 7004, ""cpu_percent"": 13.4}, {""name"": ""Discord.exe"", ""pid"": 15236, ""cpu_percent"": 11.8}]"
"2025-10-14 18:01:37",5.7,15.61,69.5,447.45,91,347,"COD001","[{""name"": ""System Idle Process"", ""pid"": 0, ""cpu_percent"": 2226.8}, {""name"": ""chrome.exe"", ""pid"": 4128, ""cpu_percent"": 35.3}, {""name"": ""chrome.exe"", ""pid"": 24660, ""cpu_percent"": 20.4}, {""name"": ""System"", ""pid"": 4, ""cpu_percent"": 18.8}, {""name"": ""chrome.exe"", ""pid"": 7616, ""cpu_percent"": 16.9}]"
